Design_Name,Area (um^2),Slack (ns),Power (W)
DotProductUnit_E2M1_x_INT8_scale_UE6M2,N/A,0.0,N/A,CustomOperator_E2M1_to_INT8:429.161600 | ScaleAccumulatorFP32:11303.340800 | ScaleAddition_E2M1_to_INT8_scale_UE6M2:2339.744000 | DotProductUnit_E2M1_x_INT8_scale_UE6M2:14232.400000
DotProductUnit_E2M1_x_INT8_scale_UE7M1,N/A,0.0,N/A,CustomOperator_E2M1_to_INT8:429.161600 | ScaleAccumulatorFP32:11235.776000 | ScaleAddition_E2M1_to_INT8_scale_UE7M1:1465.155200 | DotProductUnit_E2M1_x_INT8_scale_UE7M1:13290.246400
DotProductUnit_E2M1_x_INT8_scale_UE8M0,N/A,0.0,N/A,CustomOperator_E2M1_to_INT8:420.403200 | ScaleAccumulatorFP32:10978.028800 | ScaleAddition_E2M1_to_INT8_scale_UE8M0:1030.988800 | DotProductUnit_E2M1_x_INT8_scale_UE8M0:12589.574400
DotProductUnit_E2M3_x_E2M1_scale_UE2M6,N/A,-2.27,N/A,CustomOperator_E2M3_to_E2M1:282.771200 | ScaleAccumulatorFP32:11429.712000 | ScaleAddition_E2M3_to_E2M1_scale_UE2M6:4835.888000 | DotProductUnit_E2M3_x_E2M1_scale_UE2M6:16708.524800
DotProductUnit_E2M3_x_E2M1_scale_UE3M5,N/A,-1.84,N/A,CustomOperator_E2M3_to_E2M1:282.771200 | ScaleAccumulatorFP32:11437.219200 | ScaleAddition_E2M3_to_E2M1_scale_UE3M5:3573.427200 | DotProductUnit_E2M3_x_E2M1_scale_UE3M5:15453.571200
DotProductUnit_E2M3_x_E2M1_scale_UE4M4,N/A,-0.98,N/A,CustomOperator_E2M3_to_E2M1:282.771200 | ScaleAccumulatorFP32:11028.076800 | ScaleAddition_E2M3_to_E2M1_scale_UE4M4:2941.571200 | DotProductUnit_E2M3_x_E2M1_scale_UE4M4:14412.572800
DotProductUnit_E2M3_x_E2M1_scale_UE5M3,N/A,-0.55,N/A,CustomOperator_E2M3_to_E2M1:294.032000 | ScaleAccumulatorFP32:11194.486400 | ScaleAddition_E2M3_to_E2M1_scale_UE5M3:2235.894400 | DotProductUnit_E2M3_x_E2M1_scale_UE5M3:13884.566400
DotProductUnit_E2M3_x_E2M1_scale_UE6M2,N/A,-0.1,N/A,CustomOperator_E2M3_to_E2M1:282.771200 | ScaleAccumulatorFP32:10897.952000 | ScaleAddition_E2M3_to_E2M1_scale_UE6M2:1742.921600 | DotProductUnit_E2M3_x_E2M1_scale_UE6M2:13083.798400
DotProductUnit_E2M3_x_E2M1_scale_UE7M1,N/A,0.0,N/A,CustomOperator_E2M3_to_E2M1:294.032000 | ScaleAccumulatorFP32:10909.212800 | ScaleAddition_E2M3_to_E2M1_scale_UE7M1:1196.147200 | DotProductUnit_E2M3_x_E2M1_scale_UE7M1:12559.545600
DotProductUnit_E2M3_x_E2M1_scale_UE8M0,N/A,0.0,N/A,CustomOperator_E2M3_to_E2M1:294.032000 | ScaleAccumulatorFP32:10884.188800 | ScaleAddition_E2M3_to_E2M1_scale_UE8M0:1015.974400 | DotProductUnit_E2M3_x_E2M1_scale_UE8M0:12354.348800
DotProductUnit_E2M3_x_E2M3_scale_UE2M6,N/A,-4.28,N/A,CustomOperator_E2M3_to_E2M3:661.884800 | ScaleAccumulatorFP32:11469.750400 | ScaleAddition_E2M3_to_E2M3_scale_UE2M6:6338.579200 | DotProductUnit_E2M3_x_E2M3_scale_UE2M6:18630.368000
DotProductUnit_E2M3_x_E2M3_scale_UE3M5,N/A,-3.01,N/A,CustomOperator_E2M3_to_E2M3:661.884800 | ScaleAccumulatorFP32:11300.838400 | ScaleAddition_E2M3_to_E2M3_scale_UE3M5:4819.622400 | DotProductUnit_E2M3_x_E2M3_scale_UE3M5:16942.499200
DotProductUnit_E2M3_x_E2M3_scale_UE4M4,N/A,-1.22,N/A,CustomOperator_E2M3_to_E2M3:701.923200 | ScaleAccumulatorFP32:11407.190400 | ScaleAddition_E2M3_to_E2M3_scale_UE4M4:3877.468800 | DotProductUnit_E2M3_x_E2M3_scale_UE4M4:16146.736000
DotProductUnit_E2M3_x_E2M3_scale_UE5M3,N/A,-1.27,N/A,CustomOperator_E2M3_to_E2M3:701.923200 | ScaleAccumulatorFP32:11273.312000 | ScaleAddition_E2M3_to_E2M3_scale_UE5M3:3012.889600 | DotProductUnit_E2M3_x_E2M3_scale_UE5M3:15148.278400
DotProductUnit_E2M3_x_E2M3_scale_UE6M2,N/A,-0.25,N/A,CustomOperator_E2M3_to_E2M3:661.884800 | ScaleAccumulatorFP32:11213.254400 | ScaleAddition_E2M3_to_E2M3_scale_UE6M2:2222.131200 | DotProductUnit_E2M3_x_E2M3_scale_UE6M2:14257.424000
DotProductUnit_E2M3_x_E2M3_scale_UE7M1,N/A,0.0,N/A,CustomOperator_E2M3_to_E2M3:701.923200 | ScaleAccumulatorFP32:11184.476800 | ScaleAddition_E2M3_to_E2M3_scale_UE7M1:1331.276800 | DotProductUnit_E2M3_x_E2M3_scale_UE7M1:13377.830400
DotProductUnit_E2M3_x_E2M3_scale_UE8M0,N/A,0.0,N/A,CustomOperator_E2M3_to_E2M3:701.923200 | ScaleAccumulatorFP32:11071.868800 | ScaleAddition_E2M3_to_E2M3_scale_UE8M0:1025.984000 | DotProductUnit_E2M3_x_E2M3_scale_UE8M0:12959.929600
DotProductUnit_E2M3_x_E3M2_scale_UE2M6,N/A,-3.74,N/A,CustomOperator_E2M3_to_E3M2:589.315200 | ScaleAccumulatorFP32:11319.606400 | ScaleAddition_E2M3_to_E3M2_scale_UE2M6:5591.612800 | DotProductUnit_E2M3_x_E3M2_scale_UE2M6:17660.688000
DotProductUnit_E2M3_x_E3M2_scale_UE3M5,N/A,-2.43,N/A,CustomOperator_E2M3_to_E3M2:574.300800 | ScaleAccumulatorFP32:11447.228800 | ScaleAddition_E2M3_to_E3M2_scale_UE3M5:4250.326400 | DotProductUnit_E2M3_x_E3M2_scale_UE3M5:16432.009600
DotProductUnit_E2M3_x_E3M2_scale_UE4M4,N/A,-2.02,N/A,CustomOperator_E2M3_to_E3M2:589.315200 | ScaleAccumulatorFP32:11269.558400 | ScaleAddition_E2M3_to_E3M2_scale_UE4M4:3407.017600 | DotProductUnit_E2M3_x_E3M2_scale_UE4M4:15426.044800
